"Method","Name","Error","Occurrences"
"GET","product_search","503 Server Error: Service Temporarily Unavailable for url: product_search",2279
"GET","product_search","500 Server Error:  for url: product_search",644
"GET","product_id","503 Server Error: Service Temporarily Unavailable for url: product_id",21975
"GET","product_id","500 Server Error:  for url: product_id",2433
