"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","product_id",64461,41158,240,4251,1,58248,175,141.79,90.53,240,1100,3500,6100,15000,26000,36000,40000,44000,56000,58000,58000
"GET","product_search",6497,4318,330,5878,1,151893,277,14.29,9.50,330,1600,4800,8400,20000,34000,43000,55000,141000,152000,152000,152000
"None","Aggregated",70958,45476,250,4400,1,151893,184,156.08,100.03,250,1100,3600,6300,16000,27000,37000,40000,56000,128000,152000,152000
