"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","product_id",70929,56015,24,2736,1,41353,186,162.35,128.22,24,180,790,1600,10000,20000,30000,33000,37000,40000,41000,41000
"GET","product_search",7168,5754,27,3564,1,173976,233,16.41,13.17,27,240,970,1800,12000,24000,34000,42000,113000,174000,174000,174000
"None","Aggregated",78097,61769,24,2812,1,173976,190,178.76,141.39,24,190,800,1600,10000,20000,30000,33000,41000,113000,174000,174000
