"Method","Name","Error","Occurrences"
"GET","product_search","504 Server Error: Gateway Time-out for url: product_search",1
"GET","product_search","503 Server Error: Service Temporarily Unavailable for url: product_search",5436
"GET","product_search","500 Server Error:  for url: product_search",135
"GET","product_id","503 Server Error: Service Temporarily Unavailable for url: product_id",54073
"GET","product_id","502 Server Error: Bad Gateway for url: product_id",1398
"GET","product_id","500 Server Error:  for url: product_id",537
"GET","product_search","502 Server Error: Bad Gateway for url: product_search",182
"GET","product_id","504 Server Error: Gateway Time-out for url: product_id",4
"GET","product_id","404 Client Error:  for url: product_id",3
