"Method","Name","Error","Occurrences"
"GET","product_id","503 Server Error: Service Temporarily Unavailable for url: product_id",117235
"GET","product_id","502 Server Error: Bad Gateway for url: product_id",4293
"GET","product_id","500 Server Error:  for url: product_id",4240
"GET","product_id","504 Server Error: Gateway Time-out for url: product_id",5005
