"Method","Name","Error","Occurrences"
"GET","product_search","504 Server Error: Gateway Time-out for url: product_search",13
"GET","product_search","503 Server Error: Service Temporarily Unavailable for url: product_search",1080
"GET","product_search","500 Server Error:  for url: product_search",241
"GET","product_id","503 Server Error: Service Temporarily Unavailable for url: product_id",10496
"GET","product_id","500 Server Error:  for url: product_id",940
