"Method","Name","Error","Occurrences"
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1592 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa71af60>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/284 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6901ef7978>: Failed to establish a new connection: [Errno 111] Connection refused',))",13
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/825 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6921b24b00>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1420 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69106b2160>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/512 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68eb0e7748>: Failed to establish a new connection: [Errno 111] Connection refused',))",5
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1739 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa0b5f98>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/895 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69116f62e8>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1773 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f690308dc88>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/8 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69037652b0>: Failed to establish a new connection: [Errno 111] Connection refused',))",2
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/577 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f691121aeb8>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1310 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910a07940>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/214 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68ebd130b8>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1201 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9da8cc0>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/733 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69034bb0f0>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1370 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6902496898>: Failed to establish a new connection: [Errno 111] Connection refused',))",13
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1483 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69121eab70>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/230 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa359400>: Failed to establish a new connection: [Errno 111] Connection refused',))",5
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/977 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910acb8d0>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1398 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6902638f28>: Failed to establish a new connection: [Errno 111] Connection refused',))",5
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/204 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69124f8358>: Failed to establish a new connection: [Errno 111] Connection refused',))",15
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/855 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6911f26828>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1223 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69004cab00>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1101 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6901af9710>: Failed to establish a new connection: [Errno 111] Connection refused',))",14
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1198 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68ead84898>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1407 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9696b00>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/838 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68ebf20550>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1969 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6903eef400>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1423 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68eb818da0>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/804 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e802b240>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/397 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa728ef0>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1220 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6911a707f0>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/773 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69023386a0>: Failed to establish a new connection: [Errno 111] Connection refused',))",5
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/907 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e881a320>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1073 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6902449cc0>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/914 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e94479e8>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1252 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68ea4adb00>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/400 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f691039b978>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1943 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e7204828>: Failed to establish a new connection: [Errno 111] Connection refused',))",3
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/953 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6900438908>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
