"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","product_id",48287,29604,270,5366,1,43890,173,121.90,74.74,270,2400,6300,9800,21000,28000,35000,37000,41000,42000,44000,44000
"GET","product_search",4857,3099,300,6600,1,126034,289,12.26,7.82,300,3100,7800,12000,24000,31000,40000,50000,110000,126000,126000,126000
"None","Aggregated",53144,32703,270,5479,1,126034,184,134.16,82.56,270,2500,6400,9900,22000,29000,35000,38000,48000,107000,126000,126000
