"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","product_id",128839,20422,400,1470,1,17619,146,143.09,22.68,400,1400,2200,2800,4500,6100,8200,9400,12000,14000,17000,18000
"GET","product_search",12812,2360,670,3130,1,112246,693,14.23,2.62,670,1800,2800,3500,6000,9800,39000,50000,60000,112000,112000,112000
"None","Aggregated",141651,22782,420,1620,1,112246,195,157.32,25.30,420,1400,2200,2800,4600,6300,8700,10000,49000,60000,112000,112000
